definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
a green andradite used as a gemstone,demantoid,"""a small, thin piece of wood, bone, or metal, used for writing or drawing.""
The word ""pen"" is defined as","['The jeweler delicately placed the <nonce> into the intricately carved setting, creating a stunning contrast with the gleaming gold band.']","The word ""<nonce>"" is defined as",0.0,0.2222222222222222,0.4611743986606598
resembling a belt around something,beltlike,"""having a smooth surface.""
The snake, with its smooth body, wound its way smoothly through the tall grass.
The","['The snake, with its <nonce> body, wound its way smoothly through the tall grass.']","Given the following examples: The snake, with its <nonce> body, wound its way smoothly through the tall grass., the word ""<nonce>"" is defined as",0.0,0.08333333333333333,0.4437275528907776
resembling a belt around something,beltlike,"""to make or become rough or uneven.""
The word ""smooth"" is defined as ""free from roughness or irregularities.""
","['The winding river cut across the landscape in a long, <nonce> fashion, dividing the verdant meadows into distinctive segments.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3420490622520447
an international organization that cares for the sick or wounded or homeless in wartime,Red Cross,"""a person who is a member of a group that is organized to provide emergency medical services.""
The word ""devastated"" is defined","['After the earthquake, the <nonce> arrived to provide much-needed medical help and supplies to the devastated community.']","Given the following examples: After the earthquake, the <nonce> arrived to provide much-needed medical help and supplies to the devastated community., the word ""<nonce>"" is defined as",0.0,0.1111111111111111,0.5306611657142639
an international organization that cares for the sick or wounded or homeless in wartime,Red Cross,"""a person who is not a member of a particular group or class.""
The word ""discrimination"" is defined as ""the action","['Amid the smoky haze of the disaster-stricken town, the <nonce> volunteers tirelessly worked to provide relief and comfort.']","The word ""<nonce>"" is defined as",0.0,0.057142857142857134,0.40940552949905396
not special in any way,run-of-the-mill,"""lacking in charm or appeal.""
The word ""charm"" is defined as ""a quality that pleases the senses or the mind","[""Despite its grand exterior, the chateau's interior was disappointingly <nonce>, lacking the historic charm one would expect.""]","Given the following examples: Despite its grand exterior, the chateau's interior was disappointingly <nonce>, lacking the historic charm one would expect., the word ""<nonce>"" is defined as",0.0,0.08000000000000002,0.41091638803482056
not special in any way,run-of-the-mill,"""to make (someone) feel uncomfortable or nervous.""
The word ""uncomfortable"" is defined as ""not","['Despite its sky-high price tag, the meal tasted <nonce>, mirroring the mundane flavors of a typical diner.']","The word ""<nonce>"" is defined as",0.0,0.10526315789473682,0.38437744975090027
any of various small short-tailed songbirds with strong feet and a sharp beak that feed on small nuts and insects,nuthatch,"a noun.
The word ""fluttered"" is defined as a verb.
The word ""delicately"" is defined as an ad","['The <nonce> fluttered and perched delicately on the outstretched branch, its sharp beak deftly picking apart the pinecone it had gathered.']","Given the following examples: The <nonce> fluttered and perched delicately on the outstretched branch, its sharp beak deftly picking apart the pinecone it had gathered., the word ""<nonce>"" is defined as",0.0,0.05128205128205128,0.3042553961277008
any of various small short-tailed songbirds with strong feet and a sharp beak that feed on small nuts and insects,nuthatch,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['The <nonce> effortlessly scaled the bark of the towering oak, pausing only to pluck a hidden insect snack from a crevice.']","The word ""<nonce>"" is defined as",0.0,0.05128205128205128,0.36596161127090454
the leader of a dance band,bandleader,"""a person who conducts an orchestra or other musical group.""
The word ""conduct"" is defined as ""to direct the performance of","['The <nonce>, sporting a vibrant red suit, waved his baton energetically, dictating the rhythm of the jazz ensemble.']","Given the following examples: The <nonce>, sporting a vibrant red suit, waved his baton energetically, dictating the rhythm of the jazz ensemble., the word ""<nonce>"" is defined as",0.0,0.14814814814814814,0.5313183069229126
the leader of a dance band,bandleader,"""a person who is a leader or a person who is in charge of a group of people.""
The word ""leader"" is defined as","['The <nonce> raised his baton, signaling the orchestra to start playing the symphony.']","The word ""<nonce>"" is defined as",0.0,0.2,0.491150438785553
with passionate fervor,fierily,"""in a manner that is not obvious or clear.""
The word ""breathtaking"" is defined as ""causing awe or wonder","['As the sun set, the sky lit up <nonce>, painting a breathtaking portrait of red and orange hues.']","Given the following examples: As the sun set, the sky lit up <nonce>, painting a breathtaking portrait of red and orange hues., the word ""<nonce>"" is defined as",0.0,0.0,0.3871307373046875
with passionate fervor,fierily,"""moving or capable of moving without any outside force or influence.""
The word ""inertia"" is defined as ""the property of matter","['The sun set <nonce> beyond the rugged mountain range, casting a blazing glow over the desolate landscape.']","The word ""<nonce>"" is defined as",0.0,0.0,0.31604763865470886
(computer science) a computer memory consisting of an array of magnetic cores; now superseded by semiconductor memories,magnetic core memory,"""a device that converts electrical signals into sound.""
The word ""relic"" is defined as ""a thing that is left over from a","['Although the vintage computer was a relic from the past, its <nonce> still hummed with data, echoing the technological advancements of its time.']","Given the following examples: Although the vintage computer was a relic from the past, its <nonce> still hummed with data, echoing the technological advancements of its time., the word ""<nonce>"" is defined as",0.0,0.05128205128205128,0.4742182791233063
(computer science) a computer memory consisting of an array of magnetic cores; now superseded by semiconductor memories,magnetic core memory,"""a device that is used to measure the amount of air that is inhaled and exhaled.""
The word ""respiration"" is","['The old computer, its <nonce> humming with forgotten data, sat in the corner gathering dust.']","The word ""<nonce>"" is defined as",0.0,0.1081081081081081,0.43760162591934204
a mild form of smallpox caused by a less virulent form of the virus,alastrim,"""a person who is a member of a racial or ethnic minority group that has historically been subjected to discrimination or per","[""Amid the bustling city, a neglected statue of an <nonce> victim stood solemnly in the quiet park, a haunting reminder of the city's tormented past.""]","Given the following examples: Amid the bustling city, a neglected statue of an <nonce> victim stood solemnly in the quiet park, a haunting reminder of the city's tormented past., the word ""<nonce>"" is defined as",0.0,0.16666666666666663,0.41887614130973816
